unix,lat,lon,sp.ms,max_depth.m
1340769064,56.09383771,-6.231608176,0.02995317,7.0056138
1340769154,56.09386189,-6.231605889,0.035132084,7.0056138
1340769244,56.09388376,-6.231573412,1.271111867,7.0056138
1340769334,56.09460209,-6.232890887,3.144114568,7.0056138
1340769424,56.0962961,-6.236288523,0.356737401,-0.1325662
1340769514,56.09611032,-6.236684028,0.523634268,-0.1325662
1340769604,56.09616611,-6.23743637,0.138135045,-0.1325662
1340769694,56.096184,-6.237634,0.534192489,43.7162538
1340769784,56.09608838,-6.238389048,0.895211823,43.7162538
1340769874,56.09596389,-6.23966724,0.57217906,53.9136538
1340769964,56.09597457,-6.240496339,0.551992731,53.9136538
1340770054,56.09601997,-6.241292252,0.727406639,50.8544338
1340770144,56.09593419,-6.242335286,0.816610881,51.8741738
1340770234,56.09611574,-6.243473257,0.614775107,-0.1325662
1340770324,56.0961805,-6.244356724,0.599036257,8.0253538
1340770414,56.09624479,-6.245217294,0.849339693,8.0253538
1340770504,56.09654803,-6.2463218,0.853488084,9.0450938
1340770594,56.09691821,-6.2473658,0.066382162,8.0253538
1340770684,56.096947,-6.247447,0,8.0253538
1340770774,56.096947,-6.247447,1.235677986,10.0648338
1340770864,56.09740826,-6.249035718,2.379953124,12.1043138
1340770954,56.09827659,-6.252114165,0.631008229,28.4201538
1340771044,56.098412,-6.252996,0.40489551,28.4201538
1340771134,56.09845864,-6.253576909,0.531109745,8.0253538
1340771224,56.09855767,-6.254326,0.534741867,8.0253538
1340771314,56.09863023,-6.255090115,0.591771238,8.0253538
1340771404,56.09869464,-6.255940083,0.624582008,7.0056138
1340771494,56.098778,-6.256833,0,7.0056138
1340771584,56.098778,-6.256833,0,8.0253538
1340771674,56.098778,-6.256833,0,10.0648338
1340771764,56.098778,-6.256833,1.338231081,13.1240538
1340771854,56.09906795,-6.258701836,2.770241088,16.1832738
1340771944,56.09966436,-6.262572404,0.642928646,8.0253538
1340772034,56.09978656,-6.263478239,0.684056826,8.0253538
1340772124,56.09971328,-6.262495407,0.179534471,7.0056138
1340772214,56.09964403,-6.262724117,0.471220376,7.0056138
1340772304,56.09962977,-6.263406694,0.54786895,7.0056138
1340772394,56.09961511,-6.264200418,0.603310395,7.0056138
1340772484,56.09951506,-6.265056349,0.704734877,5.9858738
1340772574,56.09957204,-6.266072771,0.576601678,7.0056138
1340772664,56.09964521,-6.266898219,0.161474494,5.9858738
1340772754,56.099667,-6.267129,0.568080706,-0.1325662
1340772844,56.09996108,-6.267761518,0.956032482,4.9661338
1340772934,56.100456,-6.268826,0,16.1832738
1340773024,56.100456,-6.268826,0,13.1240538
1340773114,56.100456,-6.268826,0,16.1832738
1340773204,56.100456,-6.268826,0,5.9858738
1340773294,56.100456,-6.268826,0.10839164,14.1437938
1340773384,56.10047032,-6.268981011,0.975522992,14.1437938
1340773474,56.10059917,-6.270376108,0.975519815,-0.1325662
1340773564,56.10072802,-6.271771206,0.975516637,-0.1325662
1340773654,56.10085687,-6.273166304,0.975513459,-0.1325662
1340773744,56.10098572,-6.274561401,0.975510282,-0.1325662
1340773834,56.10111457,-6.275956499,0.684889279,-0.1325662
1340773924,56.10107093,-6.276946225,0.681951809,-0.1325662
1340774014,56.10102535,-6.277931397,0.681952611,-0.1325662
1340774104,56.10097977,-6.278916569,0.681953412,-0.1325662
1340774194,56.10093419,-6.27990174,0.681954214,-0.1325662
1340774284,56.10088861,-6.280886912,0.945581434,-0.1325662
